"Freq [GHz],""Phi [deg]"",""Theta [deg]"",""dB(RealizedGainTotal) []"""
77,-90,0,9.14605623010965
77,-90,2,8.99054844861613
77,-90,4,8.83039084109853
77,-90,6,8.64889477153564
77,-90,8,8.4236265933384
77,-90,10,8.13178025209519
77,-90,12,7.75487259459495
77,-90,14,7.28182841774798
77,-90,16,6.71040136366709
77,-90,18,6.04718879194567
77,-90,20,5.3063772441054
77,-90,22,4.50718231786138
77,-90,24,3.67008089678238
77,-90,26,2.81251548332907
77,-90,28,1.94543708861345
77,-90,30,1.07202213513992
77,-90,32,0.188617396919805
77,-90,34,-0.713872737112519
77,-90,36,-1.65077285900075
77,-90,38,-2.64813583299518
77,-90,40,-3.75029955204508
77,-90,42,-5.02855636876434
77,-90,44,-6.58971798873435
77,-90,46,-8.58137488532019
77,-90,48,-11.1518408194773
77,-90,50,-14.0240116361628
77,-90,52,-14.9013471229484
77,-90,54,-12.5157115283155
77,-90,56,-9.7673849393705
77,-90,58,-7.71410361918029
77,-90,60,-6.34689581014669
77,-90,62,-5.55432419616001
77,-90,64,-5.25151212641206
77,-90,66,-5.3781711868488
77,-90,68,-5.88299363874861
77,-90,70,-6.70317632407429
77,-90,72,-7.73365157356385
77,-90,74,-8.7888040932087
77,-90,76,-9.60428600089715
77,-90,78,-9.97019270668915
77,-90,80,-9.91655561731078
77,-90,82,-9.67244176537321
77,-90,84,-9.46568218655971
77,-90,86,-9.42922127701594
77,-90,88,-9.61535675237814
77,-90,90,-10.0268577671113
77,-90,92,-10.632407863298
77,-90,94,-11.3666637277245
77,-90,96,-12.1232977778994
77,-90,98,-12.7588541836928
77,-90,100,-13.1347048715168
77,-90,102,-13.194668480436
77,-90,104,-13.0060736457894
77,-90,106,-12.7133249719367
77,-90,108,-12.4646825064265
77,-90,110,-12.3794624424867
77,-90,112,-12.5535146447592
77,-90,114,-13.079132002691
77,-90,116,-14.0705911574228
77,-90,118,-15.7049205286589
77,-90,120,-18.3203290769328
77,-90,122,-22.7711108328472
77,-90,124,-32.6680636986592
77,-90,126,-29.5165588746521
77,-90,128,-22.143073876797
77,-90,130,-18.684608419474
77,-90,132,-16.7321307795141
77,-90,134,-15.6192494346727
77,-90,136,-15.0754741419657
77,-90,138,-14.9841451725827
77,-90,140,-15.2931272361097
77,-90,142,-15.9128743337496
77,-90,144,-16.5213922638111
77,-90,146,-16.4273212758471
77,-90,148,-15.2262868506561
77,-90,150,-13.4784543499858
77,-90,152,-11.8682742796649
77,-90,154,-10.6892144142481
77,-90,156,-10.0089957488696
77,-90,158,-9.82332034757251
77,-90,160,-10.1147817341351
77,-90,162,-10.8748920583518
77,-90,164,-12.1176527842363
77,-90,166,-13.8910348594696
77,-90,168,-16.2694901714268
77,-90,170,-19.216206904625
77,-90,172,-21.8646138511314
77,-90,174,-22.1224129638556
77,-90,176,-20.6622203240939
77,-90,178,-19.4302127013026
77,-90,180,-18.8397391349057
77,-90,182,-18.6859114787753
77,-90,184,-18.570373250253
77,-90,186,-18.080923633588
77,-90,188,-17.0277597560697
77,-90,190,-15.4909259298725
77,-90,192,-13.6731234969032
77,-90,194,-11.8011679962523
77,-90,196,-10.0700390197701
77,-90,198,-8.60468868878174
77,-90,200,-7.45990319010231
77,-90,202,-6.64347959467206
77,-90,204,-6.14221940777044
77,-90,206,-5.94306455686658
77,-90,208,-6.0464680113657
77,-90,210,-6.46864123738405
77,-90,212,-7.22967831774796
77,-90,214,-8.32404453555834
77,-90,216,-9.66671688731585
77,-90,218,-11.0271627860732
77,-90,220,-12.0702753260148
77,-90,222,-12.6562084770469
77,-90,224,-13.0445162141958
77,-90,226,-13.6354649919733
77,-90,228,-14.7308791943737
77,-90,230,-16.5592233828904
77,-90,232,-19.3889565737772
77,-90,234,-23.4207003159602
77,-90,236,-25.7719682509045
77,-90,238,-22.1995610398286
77,-90,240,-18.5296064945649
77,-90,242,-15.9382787794174
77,-90,244,-14.0979739988481
77,-90,246,-12.7681302065814
77,-90,248,-11.8000949387846
77,-90,250,-11.0858561651612
77,-90,252,-10.5291591392552
77,-90,254,-10.0351297994362
77,-90,256,-9.51747324620663
77,-90,258,-8.91926794583749
77,-90,260,-8.23134513666437
77,-90,262,-7.48979911281308
77,-90,264,-6.75354113680976
77,-90,266,-6.08013415900358
77,-90,268,-5.51274230592222
77,-90,270,-5.07763595175079
77,-90,272,-4.78648318169143
77,-90,274,-4.63918407501438
77,-90,276,-4.62552356588421
77,-90,278,-4.72538835423189
77,-90,280,-4.90797656598665
77,-90,282,-5.13090983094078
77,-90,284,-5.34071787561923
77,-90,286,-5.47661521107324
77,-90,288,-5.47904968311093
77,-90,290,-5.30222015811083
77,-90,292,-4.92607510203194
77,-90,294,-4.36137267877227
77,-90,296,-3.64448601235916
77,-90,298,-2.82494554715432
77,-90,300,-1.95229062317001
77,-90,302,-1.06716335299103
77,-90,304,-0.197803932567099
77,-90,306,0.639346187726038
77,-90,308,1.43677797430855
77,-90,310,2.19230698007968
77,-90,312,2.9058469861702
77,-90,314,3.57733553871059
77,-90,316,4.20611322179258
77,-90,318,4.79147804282487
77,-90,320,5.33370682757177
77,-90,322,5.83480723487189
77,-90,324,6.2986064561995
77,-90,326,6.73021874113759
77,-90,328,7.13518357161607
77,-90,330,7.51854466915164
77,-90,332,7.88397756960581
77,-90,334,8.2329738666081
77,-90,336,8.56414689809024
77,-90,338,8.87285608351534
77,-90,340,9.15140215216938
